Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.001694000,0,0,0,1
0.001815100,0,0,1,1
0.002739500,1,0,1,1
0.002819000,1,1,1,1
0.004086800,1,1,0,1
0.004443700,0,1,0,1
0.004798100,1,1,0,1
0.004859800,1,1,0,0
0.005503300,1,0,0,0
0.005990400,1,1,0,0
0.006284100,1,1,1,0
0.006786500,0,1,1,0
0.007514100,1,1,1,0
0.007536100,1,1,1,1
0.007724000,1,0,1,1
0.008071500,0,0,1,1
0.008933800,0,0,1,0
0.008957400,0,1,1,0
0.009482100,0,1,0,0
0.010713800,1,1,0,0
0.010818000,1,0,0,0
0.011182100,1,0,1,0
0.011773900,1,0,1,1
0.011978400,1,1,1,1
0.013574100,1,0,1,1
0.013666800,0,0,1,1
0.013726700,0,0,0,1
0.014791500,0,0,0,0
0.015506300,0,1,0,0
0.016609500,0,1,1,0
0.016728900,0,0,1,0
0.016890600,1,0,1,0
0.017745500,1,0,1,1
0.019112300,1,1,1,1
0.019178400,0,1,1,1
0.019261800,1,1,1,1
0.019399000,1,1,0,1
0.020682000,1,1,0,0
0.021511100,0,1,0,0
0.021562800,0,0,0,0
0.021846100,0,0,1,0
0.021865100,0,0,1,1
0.023805900,0,1,1,1
0.024240000,0,1,1,0
0.024295600,0,1,1,1
0.024316800,1,1,1,1
0.024386500,1,1,0,1
0.025077200,1,1,1,1
0.026017300,1,1,0,1
0.026188100,1,1,1,1
0.026640200,1,0,1,1
0.026679400,1,0,1,0
0.026908700,1,1,1,0
0.027408800,0,1,1,0
0.027487100,0,1,0,0
0.028171900,0,1,0,1
0.029491500,0,0,0,1
0.029699800,1,0,0,1
0.030384600,0,0,0,1
0.030540300,0,0,1,1
0.030658500,0,0,1,0
0.030684800,1,0,1,0
0.031432500,1,0,1,1
0.031833500,0,0,1,1
0.032160900,0,0,0,1
0.032515300,1,0,0,1
0.032567000,1,1,0,1
0.032969200,1,0,0,1
0.033988700,1,1,0,1
0.034303900,0,1,0,1
